date,home_team,away_team,home_score,away_score,tournament
2025-02-14,Brighton,Chelsea,3,0,Premier League
2025-02-15,Leicester,Arsenal,0,2,Premier League
2025-02-15,Aston Villa,Ipswich,1,1,Premier League
2025-02-15,Fulham,Nott'm Forest,2,1,Premier League
2025-02-15,Man City,Newcastle,4,0,Premier League
2025-02-15,Southampton,Bournemouth,1,3,Premier League
2025-02-15,West Ham,Brentford,0,1,Premier League
2025-02-15,Crystal Palace,Everton,1,2,Premier League
2025-02-16,Liverpool,Wolves,2,1,Premier League
2025-02-16,Tottenham,Man United,1,0,Premier League
2025-02-19,Aston Villa,Liverpool,2,2,Premier League
2025-02-21,Leicester,Brentford,0,4,Premier League
2025-02-22,Everton,Man United,2,2,Premier League
2025-02-22,Arsenal,West Ham,0,1,Premier League
2025-02-22,Bournemouth,Wolves,0,1,Premier League
2025-02-22,Fulham,Crystal Palace,0,2,Premier League
2025-02-22,Ipswich,Tottenham,1,4,Premier League
2025-02-22,Southampton,Brighton,0,4,Premier League
2025-02-22,Aston Villa,Chelsea,2,1,Premier League
2025-02-23,Newcastle,Nott'm Forest,4,3,Premier League
2025-02-23,Man City,Liverpool,0,2,Premier League
2025-02-25,Brighton,Bournemouth,2,1,Premier League
2025-02-25,Crystal Palace,Aston Villa,4,1,Premier League
2025-02-25,Wolves,Fulham,1,2,Premier League
2025-02-25,Chelsea,Southampton,4,0,Premier League
2025-02-26,Brentford,Everton,1,1,Premier League
2025-02-26,Man United,Ipswich,3,2,Premier League
2025-02-26,Nott'm Forest,Arsenal,0,0,Premier League
2025-02-26,Tottenham,Man City,0,1,Premier League
2025-02-26,Liverpool,Newcastle,2,0,Premier League
2025-02-27,West Ham,Leicester,2,0,Premier League
2025-03-08,Nott'm Forest,Man City,1,0,Premier League
2025-03-08,Brighton,Fulham,2,1,Premier League
2025-03-08,Crystal Palace,Ipswich,1,0,Premier League
2025-03-08,Liverpool,Southampton,3,1,Premier League
2025-03-08,Brentford,Aston Villa,0,1,Premier League
2025-03-08,Wolves,Everton,1,1,Premier League
2025-03-09,Chelsea,Leicester,1,0,Premier League
2025-03-09,Tottenham,Bournemouth,2,2,Premier League
2025-03-09,Man United,Arsenal,1,1,Premier League
2025-03-10,West Ham,Newcastle,0,1,Premier League
2025-03-15,Everton,West Ham,1,1,Premier League
2025-03-15,Ipswich,Nott'm Forest,2,4,Premier League
2025-03-15,Man City,Brighton,2,2,Premier League
2025-03-15,Southampton,Wolves,1,2,Premier League
2025-03-15,Bournemouth,Brentford,1,2,Premier League
2025-03-16,Arsenal,Chelsea,1,0,Premier League
2025-03-16,Fulham,Tottenham,2,0,Premier League
2025-03-16,Leicester,Man United,0,3,Premier League
2025-04-01,Arsenal,Fulham,2,1,Premier League
2025-04-01,Wolves,West Ham,1,0,Premier League
2025-04-01,Nott'm Forest,Man United,1,0,Premier League
2025-04-02,Bournemouth,Ipswich,1,2,Premier League
2025-04-02,Brighton,Aston Villa,0,3,Premier League
2025-04-02,Man City,Leicester,2,0,Premier League
2025-04-02,Newcastle,Brentford,2,1,Premier League
2025-04-02,Southampton,Crystal Palace,1,1,Premier League
2025-04-02,Liverpool,Everton,1,0,Premier League
2025-04-03,Chelsea,Tottenham,1,0,Premier League
2025-04-05,Everton,Arsenal,1,1,Premier League
2025-04-05,Crystal Palace,Brighton,2,1,Premier League
2025-04-05,Ipswich,Wolves,1,2,Premier League
2025-04-05,West Ham,Bournemouth,2,2,Premier League
2025-04-05,Aston Villa,Nott'm Forest,2,1,Premier League
2025-04-06,Brentford,Chelsea,0,0,Premier League
2025-04-06,Fulham,Liverpool,3,2,Premier League
2025-04-06,Tottenham,Southampton,3,1,Premier League
2025-04-06,Man United,Man City,0,0,Premier League
2025-04-07,Leicester,Newcastle,0,3,Premier League
2025-04-12,Man City,Crystal Palace,5,2,Premier League
2025-04-12,Brighton,Leicester,2,2,Premier League
2025-04-12,Nott'm Forest,Everton,0,1,Premier League
2025-04-12,Southampton,Aston Villa,0,3,Premier League
2025-04-12,Arsenal,Brentford,1,1,Premier League
2025-04-13,Chelsea,Ipswich,2,2,Premier League
2025-04-13,Liverpool,West Ham,2,1,Premier League
2025-04-13,Wolves,Tottenham,4,2,Premier League
2025-04-13,Newcastle,Man United,4,1,Premier League
2025-04-14,Bournemouth,Fulham,1,0,Premier League
2025-04-16,Newcastle,Crystal Palace,5,0,Premier League
2025-04-19,Brentford,Brighton,4,2,Premier League
2025-04-19,Crystal Palace,Bournemouth,0,0,Premier League
2025-04-19,Everton,Man City,0,2,Premier League
2025-04-19,West Ham,Southampton,1,1,Premier League
2025-04-19,Aston Villa,Newcastle,4,1,Premier League
2025-04-20,Fulham,Chelsea,1,2,Premier League
2025-04-20,Ipswich,Arsenal,0,4,Premier League
2025-04-20,Man United,Wolves,0,1,Premier League
2025-04-20,Leicester,Liverpool,0,1,Premier League
2025-04-21,Tottenham,Nott'm Forest,1,2,Premier League
2025-04-22,Man City,Aston Villa,2,1,Premier League
2025-04-23,Arsenal,Crystal Palace,2,2,Premier League
2025-04-26,Chelsea,Everton,1,0,Premier League
2025-04-26,Brighton,West Ham,3,2,Premier League
2025-04-26,Newcastle,Ipswich,3,0,Premier League
2025-04-26,Southampton,Fulham,1,2,Premier League
2025-04-26,Wolves,Leicester,3,0,Premier League
2025-04-27,Bournemouth,Man United,1,1,Premier League
2025-04-27,Liverpool,Tottenham,5,1,Premier League
2025-05-01,Nott'm Forest,Brentford,0,2,Premier League
2025-05-02,Man City,Wolves,1,0,Premier League
2025-05-03,Aston Villa,Fulham,1,0,Premier League
2025-05-03,Everton,Ipswich,2,2,Premier League
2025-05-03,Leicester,Southampton,2,0,Premier League
2025-05-03,Arsenal,Bournemouth,1,2,Premier League
2025-05-04,Brentford,Man United,4,3,Premier League
2025-05-04,Brighton,Newcastle,1,1,Premier League
2025-05-04,West Ham,Tottenham,1,1,Premier League
2025-05-04,Chelsea,Liverpool,3,1,Premier League
2025-05-05,Crystal Palace,Nott'm Forest,1,1,Premier League
2025-05-10,Fulham,Everton,1,3,Premier League
2025-05-10,Ipswich,Brentford,0,1,Premier League
2025-05-10,Southampton,Man City,0,0,Premier League
2025-05-10,Wolves,Brighton,0,2,Premier League
2025-05-10,Bournemouth,Aston Villa,0,1,Premier League
2025-05-11,Newcastle,Chelsea,2,0,Premier League
2025-05-11,Man United,West Ham,0,2,Premier League
2025-05-11,Nott'm Forest,Leicester,2,2,Premier League
2025-05-11,Tottenham,Crystal Palace,0,2,Premier League
2025-05-11,Liverpool,Arsenal,2,2,Premier League
2025-05-16,Aston Villa,Tottenham,2,0,Premier League
2025-05-16,Chelsea,Man United,1,0,Premier League
2025-05-18,Everton,Southampton,2,0,Premier League
2025-05-18,West Ham,Nott'm Forest,1,2,Premier League
2025-05-18,Brentford,Fulham,2,3,Premier League
2025-05-18,Leicester,Ipswich,2,0,Premier League
2025-05-18,Arsenal,Newcastle,1,0,Premier League
2025-05-19,Brighton,Liverpool,3,2,Premier League
2025-05-20,Crystal Palace,Wolves,4,2,Premier League
2025-05-20,Man City,Bournemouth,3,1,Premier League
2025-05-25,Bournemouth,Leicester,2,0,Premier League
2025-05-25,Fulham,Man City,0,2,Premier League
2025-05-25,Ipswich,West Ham,1,3,Premier League
2025-05-25,Liverpool,Crystal Palace,1,1,Premier League
2025-05-25,Man United,Aston Villa,2,0,Premier League
2025-05-25,Newcastle,Everton,0,1,Premier League
2025-05-25,Nott'm Forest,Chelsea,0,1,Premier League
2025-05-25,Southampton,Arsenal,1,2,Premier League
2025-05-25,Tottenham,Brighton,1,4,Premier League
2025-05-25,Wolves,Brentford,1,1,Premier League
